,index,user_id,post_time,tweet,hour
128,128,Malcolm Turnbull 💉💉,2021-10-04 05:59:39+00:00,@CoaltrainHunter @latingle I wouldn’t normally reply to a troll - but tell us what part of the extract you have posted you disagree with? Or do you think lying and deceiving is okay? #AskingForAFriend,5
129,129,Malcolm Turnbull 💉💉,2021-10-04 05:42:36+00:00,It gets worse! Sheridan endorsed the technical arguments in my NPC speech - he must be heading to a Newscorp re-education camp! https://t.co/k6j9rQEaO4 https://t.co/Zg4d8GXcrr,5
130,130,Malcolm Turnbull 💉💉,2021-10-04 02:31:45+00:00,RT @lenoretaylor: Delighted to announce that @p_hannam is joining @GuardianAus as economics correspondent. Welcome Peter....,2
131,131,Malcolm Turnbull 💉💉,2021-10-04 00:50:02+00:00,@GalenaDebney Б@юбб@byezifgmailcom1 @б@@б@#@ю@@@@@#б,0
132,132,Malcolm Turnbull 💉💉,2021-10-03 10:03:31+00:00,"RT @MarkJacob16: I used to edit Page 1 stories for the Chicago Tribune, including many from Washington. In this thread, I explain why the m…",10
133,133,Malcolm Turnbull 💉💉,2021-10-02 08:04:50+00:00,RT @MrKRudd: Seems Turnbull &amp; I have upset the protection racket again. Diddums. Murdoch’s definition of a good fmr PM is one who quietly y…,8
134,134,Malcolm Turnbull 💉💉,2021-10-01 21:12:14+00:00,"RT @lightacandleOTM: .@TurnbullMalcolm sums this up perfectly: 
'RW politics has framed Climate &amp; response to Climate as an identity/ideolo…",21
135,135,Malcolm Turnbull 💉💉,2021-10-01 21:11:37+00:00,"RT @Murfo: Fantastic article by @TurnbullMalcolm and Andrew Forrest in @NikkeiAsia on investing in green hydrogen tech.

AGREE: Green hydro…",21
136,136,Malcolm Turnbull 💉💉,2021-10-01 04:45:06+00:00,We have lost one of our best Premiers today. Gladys has been a dedicated reformer and dynamic builder. She led the State bravely and tirelessly through the bushfires and the pandemic. Thank you Gladys.,4
137,137,Malcolm Turnbull 💉💉,2021-10-01 03:22:22+00:00,RT @GlobeOpinion: The Biden administration failed to assess fully the national security ramifications before hatching its secret submarine…,3
138,138,Malcolm Turnbull 💉💉,2021-10-01 02:08:33+00:00,RT @tonykevin: @TurnbullMalcolm . Congratulations on your brilliant NPC speech and Q&amp;A. Please see my essay commenting on it today in #Pear…,2
139,139,Malcolm Turnbull 💉💉,2021-10-01 02:08:29+00:00,@tonykevin Thank you!,2
